,best_features
us,3.6326997815827498
hungry,3.405999407206335
need,3.382526885327615
help,3.15712962976707
food,3.1474410347721333
tent,3.1433701588838106
tents,3.1004701226686415
dying,2.9928902467067555
aid,2.826134546164629
victim,2.707719736394744
water,2.5351918024580384
rain,2.3928911596888254
starving,2.3857304470623824
destroyed,2.3261773197270363
storm,2.3259993914763593
hunger,2.269521652206402
house,2.207671547612468
havent,2.1483966082494224
sandy,2.1308954070687176
lost,2.1285999026446425
nothing,2.124264658620937
delmas,2.0403920966888154
lot,2.0231090471655646
area,2.009296123132873
live,1.965498394130731
please,1.9603537901928823
wait,1.9480820997680672
streets,1.9276410728191404
hurricanesandy,1.9033893905551331
cant,1.8721837020978762
road,1.8526658963785716
gone,1.841368360245453
shelter,1.8241904215336548
carrefour,1.7738020756001724
gonaives,1.7698337314249561
power,1.7606261164949442
rue,1.7401267632933817
im,1.7247717036199808
concepcion,1.709427975765851
received,1.698187513838252
family,1.6674269512956452
village,1.6581440166257895
earthquake,1.6425958218200087
sleep,1.6225657902431172
hurricane,1.5818103812134288
cannot,1.5801835415087253
sleeping,1.573543343990789
everything,1.5585004138047562
come,1.5564202537018148
impasse,1.5558562335272608
survivor,1.5470249731238375
broken,1.538614655914771
dont,1.5150033821702562
nj,1.507714380511888
hurricanes,1.4944544164987175
located,1.490540765982882
medications,1.4854634821642805
sos,1.476372900517966
artibonite,1.4724950894581905
gotten,1.4689458163558242
terrible,1.4680920471804755
days,1.4356428464088644
victims,1.4287116249530891
home,1.427876202953059
kachipul,1.4218872276869003
street,1.3957418754457436
place,1.3953462062566024
giving,1.3827840112360168
zone,1.375700822406076
clercine,1.3727208606028165
avenue,1.3656485107278857
recieve,1.3472534386934456
bridge,1.3455107910594994
gressier,1.3439094924021493
danger,1.3314805430343002
alive,1.3308612497140235
collapsed,1.326736515872012
aftershock,1.32005611255223
richter,1.3092290726591624
yes,1.306298859702488
tant,1.2930610866133043
ok,1.2654067448932607
des,1.2614541227829155
raining,1.2606941878620417
helped,1.25483424460043
weve,1.2494551848655522
evening,1.2191465607674803
suppose,1.2181769231945008
brothers,1.2176820633046122
grand,1.2104876652675591
every,1.208296958575329
aide,1.1986407460150617
came,1.1966943968162065
till,1.1926618409449319
location,1.1877913666491478
tabarre,1.1866609943285868
body,1.1820720303435148
dead,1.1819271802062818
repos,1.175334753882731
finding,1.174684884296501
aftershocks,1.1734077341737683
goods,1.172338453420482
la,1.1706987897432601
great,1.1606830558821575
goave,1.1578242901538223
car,1.1549221299362082
receive,1.1512996211930129
survive,1.149721564959509
locality,1.1465787554664448
heights,1.142977718590943
possible,1.1374302903772846
tarpaulin,1.1254420096464155
leogane,1.1240425814663404
anything,1.1200795820904537
electricity,1.1139930912176366
situation,1.110866604921208
searching,1.1101075654098334
flood,1.1097586397883996
die,1.1074291967797312
bring,1.1067080338019313
route,1.0950127097738909
martissant,1.0937221876524956
stranded,1.0876666163843
radio,1.0729972607880436
nord,1.072882664354081
croixdesbouquets,1.072475134307186
portdepaix,1.0714535525533286
coming,1.067813230766385
thanks,1.0670124938598946
lol,1.065001867473804
husband,1.0588380312085723
concrete,1.053105965366425
really,1.051544760222153
gonaive,1.0463564465945159
tonight,1.0441182271311122
away,1.0430072894881683
earthquakes,1.040010864188075
freres,1.0390838414994368
delma,1.0336322595736835
emergency,1.031964598985092
cracked,1.0312504850338275
thing,1.0308233251695322
lose,1.0299890038497204
case,1.0295249057701128
wont,1.027327888741381
went,1.0224727154963835
